"make","model","year"
"Kawasaki","KVF 650 4x4",2009
"Ducati","Superbike 1098R",2009
"Suzuki","TU250",2009
"Kawasaki","Vulcan 2000 Classic",2008
"Suzuki","DR650SE",2008
"Kawasaki","KVF 360",2009
"Suzuki","SV650 Sport",2009
"Kawasaki","Brute Force 750 4x4i Camo",2009
"Suzuki","V-Strom 1000",2009
"Kawasaki","Ninja ZX-10R",2009
"Kawasaki","ZZR1400 ABS",2009
"Suzuki","Boulevard M90",2009
"Honda","FourTrax Rancher",2009
"Kawasaki","Super Sherpa",2009
"Kawasaki","Vulcan 1600 Classic",2009
"Suzuki","Maruder 125",2009
"Kawasaki","Vulcan 500 LTD",2008
"Honda","CRF 230 L",2008
"Honda","VTX1300C",2009
"Kawasaki","ER-6n",2009
"Suzuki","Ozark 250",2009
"Suzuki","SV650SF",2008
"Suzuki","Sixteen 125",2009
"Suzuki","SV650SF ABS",2009
"Kawasaki","Ninja ZX-14 Monster Energy",2009
"Honda","Gold Wing Airbag",2009
"Honda","CBR1000RR Fireblade ABS",2009
"Suzuki","Burgman 650 Exec",2008
"Kawasaki","KLX140L",2008
"Honda","Forza X",2009
"Suzuki","Boulevard C50 Special Edition",2009
"Honda","Shadow Aero",2009
"Honda","CBR125",2009
"Kawasaki","Vulcan 1600 Mean Streak",2008
"Suzuki","QuadSport Z250",2009
"Suzuki","KingQuad 500AXi Power Steering",2009
"Suzuki","DR200SE",2008
"Suzuki","DR-Z400SM",2008
"Kawasaki","Brute Force 650 4x4 Camo",2009
"Suzuki","Burgman 650",2008
"Kawasaki","KLX 450R",2008
"Kawasaki","Versys",2008
"Honda","FourTrax Foreman Rubicon",2009
"Kawasaki","ER-6f",2008
"Honda","XR650L",2009
"Suzuki","GSX-R1000",2009
"Honda","TRX400X",2009
"Suzuki","RM250",2008
"Suzuki","Boulevard M50 Special Edition",2009
"Kawasaki","VN 1700 Voyager",2009
"Honda","SH125i",2009
"Kawasaki","Prairie 360 4x4 Camo",2009
"Kawasaki","Brute Force 750 4x4i",2009
"Ducati","Streetfighter",2009
"Honda","ST1300 ABS Pan European",2009
"Suzuki","Boulevard M109R Limited Edition",2009
"Kawasaki","ZZR600",2008
"Suzuki","Boulevard M109R",2008
"Kawasaki","KFX 450R",2009
"Ducati","Monster S2R 800",2007
"Honda","Shadow Ace",1999
